,ID,RA,DEC
120,102551704235464704,170.423549854,-4.538090636000001
121,102600162258039081,16.225817602,-4.4927983760000005
122,102620517356578907,51.735634499999996,-4.47625613
123,102630650216680672,65.02167779199999,-4.47478335
124,102663264448749622,326.444867792,-4.4425105039999995
125,102691398888484432,139.888863878,-4.421635584
126,102703430861409112,343.086123143,-4.409399458999999
127,102721852917791059,185.291775643,-4.399454051
128,102731710087378460,171.008751665,-4.384960453
129,102740246860451528,24.6860518825,-4.3824101815
130,102741851813748720,185.18139751,-4.3764111119999995
131,102771695674778518,169.567490306,-4.35156531
132,102781476671475301,147.667160118,-4.34591238
133,102781890191736095,189.01917153,-4.345258212
134,102801605097079232,160.509697188,-4.325969594
135,102801605099437965,160.509954926,-4.3270291080000005
136,102811561679201704,156.16793179200002,-4.32392955
