,RA,DEC
167,355.513999204,4.3108505
168,359.68555313800005,4.334892722
169,336.455322368,4.52113411
170,344.73693321,4.58767286
171,327.89948162,4.6586251260000004
172,353.76048851800005,4.803774743
173,8.794842294,4.851609938
174,25.45748011,5.003348526
175,357.56152543300004,4.99985186
176,18.726123634,5.03400281
177,3.576911888,5.1165262380000005
178,5.949840086,5.135455926000001
179,346.84993252,5.137943788
180,340.57771580400004,5.220909598
181,3.641825126,5.234256139
182,10.311921142000001,5.286431314
183,14.567000043,5.301220025
184,23.425877668000002,5.369975287999999
185,327.90365689,5.534114814
186,357.00395849,5.596870203
187,7.72816208,5.621745162000001
188,349.627855916,5.668863344
189,45.035890243999994,5.804634554
190,3.8137801039999997,5.8876702739999995
191,10.72921649,5.896629592000001
192,346.734142758,5.9183425860000005
193,32.008509491999995,5.932342906000001
194,330.591453354,5.963528836
195,357.84791919599996,6.1085192720000006
196,44.72302081,6.157955257999999
197,325.18472034,6.348023552000001
198,19.059308255999998,6.4197092520000005
199,346.752125524,6.4181131339999995
200,357.770182906,6.416707627999999
201,5.35683,6.442703752000001
202,25.524380328000003,6.45235307
203,38.226153844,6.472168562
204,9.84678201,6.593139556000001
205,346.338646452,6.649397614
206,38.728206932,6.715502674
207,25.594974271999998,6.7232852560000005
208,10.142046472,6.752692276
209,18.939972498,6.819309228
210,354.36908159,6.84029039
211,9.867816134,6.859671147999999
212,330.906512096,6.935656242
213,5.371364744,6.976814414
214,351.97842548,6.996255262000001
215,9.056320086,7.166863414
216,16.296178272,7.240998546
217,4.319722746,7.414643976
218,6.404370298,7.475090617999999
219,347.09012775,7.478161072000001
220,347.47223423599996,7.49203129866667
221,347.4686266072,7.5157209603999995
222,359.00804797800004,7.523148856000001
223,11.928771478,7.544962207999999
224,346.955095238,7.56162159
225,9.039480654,7.64045211
226,21.185882682,7.673171546
227,37.353928074,7.757270348
228,19.950811736,7.761680648
229,26.320084206999997,7.760173697999999
230,30.17618327,7.793830838
231,14.248197037999999,7.806956802
232,0.8174368040000001,7.815160476
233,346.825361812,7.921296217999999
234,0.275234262,8.118441626000001
235,17.292566384,8.276325532000001
236,357.714427514,8.329940836
237,359.361029046,8.326323817999999
238,17.1018737,8.348667492
239,336.323963956,8.41659562
240,349.29837637199995,8.555018132
241,351.982494096,8.597577782
242,33.102378701999996,8.618583554
243,333.29810884299997,8.628732406000001
244,351.904752261,8.68413903
245,9.028406666,8.694981014
246,27.55313275,8.76712417
247,324.594682495,8.804193377
248,15.810695286,8.82576202
249,335.99775877,8.902873684
250,29.442487694,8.994562776
251,357.065096854,9.0532247
252,354.670224324,9.059032616
253,21.168760342,9.088476346
254,31.580812171999998,9.227426573999999
255,355.275030958,9.251814293999999
256,348.65361182,9.292079447999999
257,350.50281303400004,9.296724256000001
258,36.827489258,9.339043112
259,15.32563669,9.368266457999999
260,357.35824932599996,9.404972828
261,332.408706154,9.49792397
262,341.94445924400003,9.659286238
263,6.355193034,9.717389834
264,354.20057704199996,9.740613972
265,353.85846846,9.75122442
266,19.994278802,9.808806568
267,349.34503555599997,9.837107492000001
268,350.719439454,9.968117984
269,349.21349119900003,10.003213713
270,6.312904316,10.102701292
271,21.07452016,10.10699703
272,36.942892138000005,10.103733894
273,322.34914730599996,10.213221848
274,13.901729302,10.238129476000001
275,345.51020433199994,10.25753604
276,322.477369542,10.267794967999999
277,34.15999901,10.2893556
278,337.996489056,10.375581856
279,345.561986518,10.479928787999999
280,324.043837074,10.632274407999999
281,21.387181934,10.695720304
282,18.145418128,10.71047948
283,39.900355311999995,10.735879748
284,26.737190137,10.782753097
285,1.054118581,10.790554689
286,327.806235259,10.794999380999998
287,15.884520885999999,10.827764734
288,12.051717576,10.85259532
289,5.371487786,10.892054457999999
290,30.032715218000003,11.048894974000001
291,338.359261488,11.052874824000002
292,355.555711954,11.076227642000001
293,12.200337172000001,11.370145944
294,9.075518022,11.39306303
295,26.733790936,11.438625988
296,342.342289528,11.49464873
297,355.98869597199996,11.515230996
298,8.803116814,11.553294118
299,342.355155117,11.592468002
300,19.608433715,11.606145517
301,23.425635518000004,11.695616725999999
302,20.447284372000002,11.721249228
303,349.577111006,11.729650088
304,331.74053767,11.763530006
305,353.678286268,11.889074035999998
306,8.956585058,11.914756372000001
307,10.514960052000001,12.008252829000002
308,350.123590894,12.081708864000001
309,351.897609744,12.075037914000001
310,2.590810914,12.14138244
311,350.563722446,12.23234579
312,343.375475338,12.297270304000001
313,18.74544376,12.37987611
314,26.124021741999996,12.429438184
315,351.31008101,12.636393995999999
316,356.13123652,12.696346294000001
317,333.972832116,12.724612752
318,322.00878089400004,12.746537287999999
319,24.449583542,12.77692667
320,342.97778254,12.77522793
321,351.853450224,12.856070968
322,351.76463941599997,12.890130975999998
323,43.228362418,13.065433872
324,14.601956668,13.082639704000002
325,348.782727764,13.170518418
326,358.72599629,13.304144566
327,10.987230508,13.36759921
328,0.722486728,13.420299997999999
329,358.92304855599997,13.436829962000001
330,11.104251082000001,13.48426994
331,356.297020458,13.562771766
332,329.972340173,13.579869844000001
333,353.094677574,13.716039322
334,8.944155038,13.880048172
335,33.176478716,13.969423292
336,350.868255598,13.977447798
337,9.54819765,14.022461468
338,39.682272294,14.10337575
339,16.956902665999998,14.121015188
340,350.86124229800004,14.13169329
341,3.35304097,14.208427534
342,33.140558969000004,14.343202952
343,17.370000514,14.363133375999999
344,339.88626863400003,14.363681485999999
345,17.33083834,14.409297566
346,351.026572444,14.418271864000001
347,22.66662223,14.437062127999999
348,351.953059072,14.47537072
349,351.92847620000003,14.544796314000001
350,350.889310168,14.576923732000001
351,18.647530686,14.583365202000001
352,9.43934815,14.711621357
353,3.446402418,14.773930624
